Index,Time,(((supercap).sampler_).iRefree_).adc_val_
8236,8.235986,459.227966
8237,8.236991,458.77121
8238,8.237988,458.977814
8239,8.238982,458.886566
8240,8.239989,458.949585
8241,8.240982,458.949188
8242,8.241988,460.027374
8243,8.243001,459.588348
8244,8.243983,459.705719
8245,8.244988,459.177246
8246,8.245983,460.016388
8247,8.246990,460.042114
8248,8.247987,460.148437
8249,8.248979,459.558411
8250,8.249986,459.172607
8251,8.250992,460.149902
8252,8.251985,458.710663
8253,8.252991,460.029327
8254,8.253996,459.513672
8255,8.254989,459.592316
8256,8.255984,458.522583
8257,8.256990,459.509064
8258,8.257987,459.55127
8259,8.258980,459.040649
8260,8.260160,459.428436
8261,8.260991,459.712341
8262,8.261986,459.300232
8263,8.262978,459.465424
8264,8.263985,459.310364
8265,8.265007,459.184113
8266,8.265989,460.088867
8267,8.266982,459.456451
8268,8.267979,459.070709
8269,8.268985,459.041351
8270,8.269981,458.98111
8271,8.270987,459.288757
8272,8.271981,459.782959
8273,8.272988,460.026062
8274,8.273982,460.154663
8275,8.275077,458.705383
8276,8.275982,459.059814
8277,8.276989,459.513611
8278,8.277987,459.788147
8279,8.278981,459.4086
8280,8.279988,459.221893
8281,8.280983,459.812439
8282,8.281989,459.33371
8283,8.282983,459.775604
8284,8.283990,459.735931
8285,8.284985,459.37146
8286,8.286000,459.85376
8287,8.286983,459.399933
8288,8.287980,459.002472
8289,8.288987,459.198639
8290,8.289981,459.585144
8291,8.290987,459.11792
8292,8.291980,459.466461
8293,8.292987,459.801514
8294,8.293983,458.841064
8295,8.294990,459.532227
8296,8.295985,459.32785
8297,8.296998,459.010376
8298,8.297983,459.702301
8299,8.298990,459.326538
8300,8.299984,459.664795
8301,8.300990,459.390747
8302,8.301983,460.128235
8303,8.302989,459.695801
8304,8.303983,458.894897
8305,8.304989,458.954071
8306,8.305983,459.117096
8307,8.307019,459.311127
8308,8.307984,459.636139
8309,8.308990,459.829102
8310,8.309985,458.716797
8311,8.310991,459.695129
8312,8.311984,459.411469
8313,8.312990,459.303955
8314,8.313984,459.696045
8315,8.314989,459.560944
8316,8.315982,459.68335
8317,8.316988,459.072937
8318,8.318024,459.343048
8319,8.319001,459.959656
8320,8.319983,459.099152
8321,8.320990,458.862244
8322,8.321983,459.180634
8323,8.322990,459.772308
8324,8.323983,459.381531
8325,8.324989,458.896698
8326,8.325983,458.513062
8327,8.326989,458.782806
8328,8.327987,458.941864
8329,8.329006,458.96225
8330,8.329988,458.863098
8331,8.330982,460.071808
8332,8.331988,460.077972
8333,8.332982,459.026947
8334,8.333988,458.810883
8335,8.334981,459.146729
8336,8.335987,459.42749
8337,8.336983,459.346954
8338,8.337980,458.762634
8339,8.339013,459.336823
8340,8.340000,458.764038
8341,8.340983,459.336456
8342,8.341990,459.574158
8343,8.342984,459.134216
8344,8.343990,459.114044
8345,8.344983,459.565002
8346,8.345990,459.800995
8347,8.346986,459.374603
8348,8.347983,458.850159
8349,8.348990,458.827057
8350,8.350004,459.001099
8351,8.350986,458.541351
8352,8.351980,459.607605
8353,8.352986,459.678619
8354,8.353980,459.318878
8355,8.354986,459.466034
8356,8.355982,459.367035
8357,8.356989,459.817871
8358,8.357987,459.483002
8359,8.358980,458.521332
8360,8.359988,459.322144
8361,8.361001,459.174408
8362,8.361982,459.058136
8363,8.362989,459.244476
8364,8.363982,458.57373
8365,8.364989,459.593536
8366,8.365985,459.275604
8367,8.366992,459.470886
8368,8.367988,459.347382
8369,8.368981,458.498718
8370,8.369987,459.099823
8371,8.371006,459.273712
8372,8.371997,459.896576
8373,8.372991,458.637817
8374,8.373985,458.811035
8375,8.374992,458.902252
8376,8.375986,459.519165
8377,8.376980,458.986145
8378,8.377989,459.623474
8379,8.378982,459.138733
8380,8.379988,459.164612
8381,8.380981,459.365356
8382,8.381998,459.80365
8383,8.382979,459.25592
8384,8.383986,458.816681
8385,8.384979,458.277344
8386,8.385985,458.738525
8387,8.386991,458.385773
8388,8.387988,458.828522
8389,8.388981,459.095886
8390,8.389988,459.334595
8391,8.390982,459.505402
8392,8.391988,459.222137
8393,8.393001,458.874542
8394,8.393982,459.253723
8395,8.394989,459.040222
8396,8.395983,459.204803
8397,8.396989,459.021179
8398,8.397986,458.73996
8399,8.398980,459.542023
8400,8.399986,459.000549
8401,8.400980,459.036377
8402,8.401987,458.69693
8403,8.403006,458.890045
8404,8.404001,459.425812
8405,8.404983,459.381561
8406,8.405990,459.407776
8407,8.406983,459.016968
8408,8.407981,459.534515
8409,8.408988,458.914734
8410,8.409982,459.010559
8411,8.410989,459.021484
8412,8.411982,459.371246
8413,8.412989,459.351166
8414,8.413997,459.013885
8415,8.414990,458.858582
8416,8.415985,459.237427
8417,8.416979,458.592712
8418,8.417989,458.986664
8419,8.418983,458.980804
8420,8.419989,458.956482
8421,8.420982,459.072937
8422,8.421991,459.039429
8423,8.422985,458.645294
8424,8.424022,458.626892
8425,8.425002,458.914978
8426,8.425983,459.173035
8427,8.426979,459.434906
8428,8.427989,459.341919
8429,8.428983,458.932373
8430,8.429991,460.093597
8431,8.430984,459.545349
8432,8.431979,459.4021
8433,8.432985,459.156952
8434,8.433991,458.948547
8435,8.434984,459.501526
8436,8.436001,459.670685
8437,8.436983,459.197571
8438,8.437980,460.209412
8439,8.438986,459.345581
8440,8.439979,459.2659
8441,8.440986,459.227081
8442,8.441980,459.10495
8443,8.442986,459.480682
8444,8.443980,459.134827
8445,8.444986,459.402893
8446,8.446001,459.218903
8447,8.446982,459.631378
8448,8.447979,459.426971
8449,8.448985,458.013855
8450,8.449978,458.579254
8451,8.450985,459.314941
8452,8.451991,459.044373
8453,8.452984,459.434326
8454,8.453978,459.533661
8455,8.454984,459.322205
8456,8.455990,459.979187
8457,8.457007,458.588135
8458,8.457991,458.59964
8459,8.458985,459.736572
8460,8.459979,459.199615
8461,8.460985,460.049103
8462,8.461992,459.740997
8463,8.462985,459.212646
8464,8.463978,459.08316
8465,8.464985,459.515228
8466,8.465991,459.51947
8467,8.467050,459.120575
8468,8.467985,459.498016
8469,8.468979,458.799652
8470,8.469986,459.098938
8471,8.470980,459.335571
8472,8.471986,458.502594
8473,8.472981,458.736755
8474,8.473988,459.099762
8475,8.474982,460.535889
8476,8.475988,459.704834
8477,8.476983,459.50708
8478,8.477998,458.845245
8479,8.478980,458.915466
8480,8.479986,459.24707
8481,8.480997,458.990784
8482,8.481982,459.413055
8483,8.482989,458.707397
8484,8.483983,459.629242
8485,8.484990,459.27002
8486,8.485984,458.313263
8487,8.486990,459.069733
8488,8.487988,458.996094
